filename,size,size_category,level,threads,rigz_time,pigz_time,slowdown_pct,rigz_speed,pigz_speed
binary-100KB.bin,102400,Small (≤100KB),1,8,0.013192,0.010624,24.17,6.82,8.47
binary-100KB.bin,102400,Small (≤100KB),1,16,0.013605,0.012659,7.47,6.61,7.10
binary-100KB.bin,102400,Small (≤100KB),6,8,0.011812,0.008923,32.38,7.61,10.08
binary-100KB.bin,102400,Small (≤100KB),6,16,0.014729,0.009424,56.29,6.11,9.55
binary-100KB.bin,102400,Small (≤100KB),9,1,0.012556,0.009491,32.29,7.16,9.48
binary-100KB.bin,102400,Small (≤100KB),9,2,0.012977,0.012222,6.18,6.93,7.36
binary-100KB.bin,102400,Small (≤100KB),9,8,0.012755,0.008991,41.86,7.05,10.01
binary-100MB.bin,104857600,Very Large (>10MB),6,2,1.463479,0.800531,82.81,68.33,124.91
binary-100MB.bin,104857600,Very Large (>10MB),9,1,1.643761,1.549309,6.10,60.83,64.54
binary-100MB.bin,104857600,Very Large (>10MB),9,8,0.291450,0.217432,34.04,343.11,459.91
binary-100MB.bin,104857600,Very Large (>10MB),9,16,0.288863,0.137034,110.80,346.18,729.74
binary-10KB.bin,10240,Tiny (≤10KB),1,4,0.011417,0.010334,10.48,0.00,0.00
binary-10KB.bin,10240,Tiny (≤10KB),1,16,0.011485,0.010146,13.20,0.00,0.00
binary-10KB.bin,10240,Tiny (≤10KB),6,1,0.014351,0.012749,12.57,0.00,0.00
binary-10KB.bin,10240,Tiny (≤10KB),6,2,0.013144,0.011029,19.18,0.00,0.00
binary-10KB.bin,10240,Tiny (≤10KB),6,16,0.010359,0.009345,10.85,0.00,0.00
binary-10MB.bin,10485760,Large (≤10MB),6,2,0.159770,0.091258,75.08,62.58,109.57
binary-10MB.bin,10485760,Large (≤10MB),6,4,0.063160,0.052267,20.84,158.32,191.32
binary-10MB.bin,10485760,Large (≤10MB),6,8,0.043276,0.032535,33.01,231.07,307.36
binary-10MB.bin,10485760,Large (≤10MB),6,16,0.029369,0.027872,5.37,340.49,358.78
binary-10MB.bin,10485760,Large (≤10MB),9,2,0.173546,0.089400,94.12,57.62,111.85
binary-10MB.bin,10485760,Large (≤10MB),9,4,0.074036,0.055049,34.49,135.06,181.65
binary-10MB.bin,10485760,Large (≤10MB),9,8,0.061989,0.034424,80.07,161.31,290.49
binary-10MB.bin,10485760,Large (≤10MB),9,16,0.063452,0.028100,125.81,157.59,355.87
binary-1KB.bin,1024,Tiny (≤10KB),1,4,0.012421,0.010984,13.08,0.00,0.00
binary-1KB.bin,1024,Tiny (≤10KB),1,16,0.010634,0.009971,6.65,0.00,0.00
binary-1KB.bin,1024,Tiny (≤10KB),6,4,0.010675,0.009914,7.68,0.00,0.00
binary-1KB.bin,1024,Tiny (≤10KB),6,8,0.012928,0.010987,17.67,0.00,0.00
binary-1MB.bin,1048576,Medium (≤1MB),6,2,0.024929,0.018930,31.69,40.11,52.82
binary-1MB.bin,1048576,Medium (≤1MB),6,4,0.024107,0.012680,90.12,41.48,78.86
binary-1MB.bin,1048576,Medium (≤1MB),6,8,0.025035,0.011925,109.94,39.94,83.85
binary-1MB.bin,1048576,Medium (≤1MB),6,16,0.025179,0.010585,137.87,39.71,94.47
binary-1MB.bin,1048576,Medium (≤1MB),9,1,0.025191,0.023792,5.88,39.69,42.03
binary-1MB.bin,1048576,Medium (≤1MB),9,2,0.024846,0.016311,52.33,40.24,61.30
binary-1MB.bin,1048576,Medium (≤1MB),9,4,0.026553,0.012881,106.14,37.66,77.63
binary-1MB.bin,1048576,Medium (≤1MB),9,8,0.024694,0.010389,137.69,40.49,96.25
binary-1MB.bin,1048576,Medium (≤1MB),9,16,0.025159,0.011039,127.91,39.74,90.58
random-100KB.dat,102400,Small (≤100KB),6,4,0.009236,0.008783,5.16,9.74,10.24
random-100KB.dat,102400,Small (≤100KB),9,1,0.010959,0.009733,12.60,8.21,9.24
random-100MB.dat,104857600,Very Large (>10MB),6,2,1.481807,0.794222,86.57,67.48,125.90
random-100MB.dat,104857600,Very Large (>10MB),9,8,0.291702,0.217769,33.95,342.81,459.20
random-100MB.dat,104857600,Very Large (>10MB),9,16,0.289024,0.155429,85.95,345.99,643.38
random-10KB.dat,10240,Tiny (≤10KB),1,2,0.011208,0.010451,7.24,0.00,0.00
random-10KB.dat,10240,Tiny (≤10KB),6,1,0.011660,0.011010,5.90,0.00,0.00
random-10KB.dat,10240,Tiny (≤10KB),6,2,0.011885,0.009013,31.87,0.00,0.00
random-10KB.dat,10240,Tiny (≤10KB),9,1,0.012101,0.007954,52.14,0.00,0.00
random-10KB.dat,10240,Tiny (≤10KB),9,4,0.011232,0.008622,30.27,0.00,0.00
random-10MB.dat,10485760,Large (≤10MB),6,2,0.161479,0.091785,75.93,61.92,108.95
random-10MB.dat,10485760,Large (≤10MB),6,4,0.065023,0.053394,21.78,153.79,187.28
random-10MB.dat,10485760,Large (≤10MB),6,8,0.044116,0.034283,28.68,226.67,291.68
random-10MB.dat,10485760,Large (≤10MB),9,2,0.176420,0.089832,96.39,56.68,111.31
random-10MB.dat,10485760,Large (≤10MB),9,4,0.072573,0.053537,35.56,137.79,186.78
random-10MB.dat,10485760,Large (≤10MB),9,8,0.061698,0.033876,82.13,162.07,295.19
random-10MB.dat,10485760,Large (≤10MB),9,16,0.062240,0.028330,119.70,160.66,352.98
random-1KB.dat,1024,Tiny (≤10KB),1,8,0.008996,0.007502,19.91,0.00,0.00
random-1KB.dat,1024,Tiny (≤10KB),6,8,0.010806,0.010085,7.15,0.00,0.00
random-1KB.dat,1024,Tiny (≤10KB),6,16,0.011887,0.011042,7.65,0.00,0.00
random-1KB.dat,1024,Tiny (≤10KB),9,1,0.011340,0.007672,47.81,0.00,0.00
random-1MB.dat,1048576,Medium (≤1MB),1,8,0.014061,0.013190,6.60,71.11,75.81
random-1MB.dat,1048576,Medium (≤1MB),1,16,0.015451,0.013188,17.16,64.72,75.82
random-1MB.dat,1048576,Medium (≤1MB),6,2,0.023987,0.020948,14.51,41.68,47.73
random-1MB.dat,1048576,Medium (≤1MB),6,4,0.025529,0.015337,66.45,39.17,65.20
random-1MB.dat,1048576,Medium (≤1MB),6,8,0.026068,0.015990,63.03,38.36,62.53
random-1MB.dat,1048576,Medium (≤1MB),6,16,0.023318,0.013987,66.71,42.88,71.49
random-1MB.dat,1048576,Medium (≤1MB),9,1,0.033564,0.025292,32.71,29.79,39.53
random-1MB.dat,1048576,Medium (≤1MB),9,2,0.027830,0.020778,33.94,35.93,48.12
random-1MB.dat,1048576,Medium (≤1MB),9,4,0.028260,0.013509,109.19,35.38,74.02
random-1MB.dat,1048576,Medium (≤1MB),9,8,0.030095,0.012567,139.48,33.22,79.57
random-1MB.dat,1048576,Medium (≤1MB),9,16,0.027481,0.011308,143.02,36.38,88.43
text-100KB.txt,136537,Medium (≤1MB),1,4,0.013083,0.010914,19.87,9.93,11.91
text-100KB.txt,136537,Medium (≤1MB),6,16,0.013329,0.011630,14.61,9.75,11.17
text-100MB.txt,139810137,Very Large (>10MB),9,16,0.499397,0.312967,59.57,266.98,426.01
text-10KB.txt,13657,Small (≤100KB),1,4,0.011241,0.009106,23.45,0.88,1.09
text-10KB.txt,13657,Small (≤100KB),1,16,0.011603,0.011002,5.46,0.86,0.90
text-10KB.txt,13657,Small (≤100KB),6,8,0.010987,0.010463,5.01,0.91,0.95
text-10KB.txt,13657,Small (≤100KB),9,2,0.012081,0.011309,6.83,0.82,0.88
text-10KB.txt,13657,Small (≤100KB),9,16,0.013937,0.012974,7.42,0.71,0.77
text-10MB.txt,13981017,Very Large (>10MB),9,8,0.087754,0.066607,31.75,151.90,200.12
text-10MB.txt,13981017,Very Large (>10MB),9,16,0.088590,0.045911,92.96,150.46,290.34
text-1KB.txt,1369,Tiny (≤10KB),1,2,0.012716,0.011125,14.30,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),6,1,0.012346,0.011321,9.05,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),6,8,0.011707,0.010883,7.57,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),9,1,0.011130,0.007585,46.74,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),9,2,0.011321,0.008093,39.89,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),9,4,0.011631,0.010908,6.63,0.00,0.00
text-1KB.txt,1369,Tiny (≤10KB),9,16,0.010808,0.010267,5.27,0.00,0.00
text-1MB.txt,1398105,Large (≤10MB),6,2,0.036132,0.034108,5.93,36.80,38.99
text-1MB.txt,1398105,Large (≤10MB),9,2,0.042929,0.034309,25.12,30.98,38.76
text-1MB.txt,1398105,Large (≤10MB),9,4,0.027191,0.024353,11.65,48.91,54.61
text-1MB.txt,1398105,Large (≤10MB),9,8,0.021428,0.020091,6.65,62.06,66.19
text-1MB.txt,1398105,Large (≤10MB),9,16,0.020100,0.017618,14.09,66.16,75.49